,lemma_id,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,gloss,gloss_type,gloss_form
2,p447_l05_o04,nouas quaestiones,novẽ int̃rogaciones,S22,F3,ꝓ positiones,S22,F2,÷ ꝓpositiones,S22,F2
110,p450_l20_o04,delinio,lineã destro ł unguo,S22,F3,blandior,S22,F2,blandior,S22,F2
111,p450_l20_o06,auxilium,adiutoriũ [adiuta]?,S22,F3,adium̃tũ,S22,F2,adium̃tũ,S22,F2
114,p450_l26_o01,pio,purgo/mundo,S22,F3,mundo,S22,F2,mundo,S22,F2
125,p451_l10_o05,stabilio ,constituo/c̃firmo,S22,F3,c̃firmo,S22,F2,c̃firmo,S22,F2
128,p451_l11_o04,insignio,orno/redimio,S22,F3,nobilito,S22,F2,nobilio,S22,F2
199,p453_l10_o11,marceo,defitio areo tabesco siue macior,S22,F3,areo,S22,F2,areo,S22,F2
212,p453_l19_o07,rapio ,tollo /aufero,S22,F3,aufero,S22,F2,aufero,S22,F2
217,p453_l29_o04,fatilis , leuis/qͣsi possibilis,S22,F3,leuis,S22,F2,leuis,S22,F2
299,p455_l20_o01,alimentũ,cib; qualiscũq; /pabulũ,S22,F3,nutrim̃tũ,S22,F2,Nutrimentũ,S22,F2
300,p455_l20_o02,incrementũ,aum̃tũ increm̃tũ,S22,F3,augm̃tũ,S22,F2,augm̃tũ,S22,F2
303,p455_l21_o01,liquamen,res humida ◌͛ humida res,S22,F3,ligatio,S22,F2,ligatio,S22,F2
332,p457_l10_o04,sollertia,prudentia sagacitas,S22,F3,sagacitas,S22,F2,sollicitudo,S22,F2
410,p458_l31_o02,decus,uentus /honor,S22,F3,honor,S22,F2,honor,S22,F2
411,p458_l31_o03,decoro,orno /uenusto,S22,F3,orno,S22,F2,orno,S22,F2
416,p459_l01_o06,fraus,dr̃ furtũ deceptio,S22,F3,deceptio,S22,F2,deceptio,S22,F2
438,p459_l25_o02,pando,aperio manifesto,S22,F3,aperio,S22,F2,aperio,S22,F2
445,p461_l10_o02,radio,luceo splendeo,S22,F3,splendeo,S22,F2,splendeo,S22,F2
477,p463_l15_o04,insignio,decoro orno,S22,F3,noblito,S22,F2,nobilito,S22,F2
479,p463_l17_o02,gestio,adꝗro exulto,S22,F3,desidero,S22,F2,desidero,S22,F2
