,page,gloss,marginal_note_id
0,p447,54,11
1,p448,88,16
2,p449,95,15
3,p450,84,18
4,p451,93,15
5,p452,99,18
6,p453,92,26
7,p454,95,26
8,p455,69,13
9,p456,83,14
10,p457,117,20
11,p458,108,16
12,p459,118,8
13,p460,76,15
14,p461,72,10
15,p462,81,27
16,p463,71,8
17,p464,34,5
18,p465,64,9
19,p466,44,7
20,p467,16,1
21,p468,2,0
22,p470,4,0
23,p471,9,1
24,p472,7,1
25,p473,1,0
26,p474,4,0
27,p475,1,0
28,p476,1,0
29,p477,2,0
30,p478,1,0
31,p479,4,0
32,p480,2,3
33,p481,1,1
34,p482,0,1
35,p483,3,2
36,p484,2,1
37,p485,1,4
38,p486,2,0
39,p487,6,0
