lemma_id,gloss_type_Bamberg,gloss_type_Lat14087,gloss_form_Bamberg,gloss_form_Lat14087,lemma,gloss_Bamberg,gloss_Lat14087
p448_l20_o07,S25,S25,F3,F3,sodes ,si audes,si audes
p450_l02_o04,S22,S22,F2,F2,enucleo ,manifesto,Nucleo. claudo
p450_l06_o07,S22,S22,F2,F2,fatuo ,hębeo,fatuor hebesco
p450_l20_o04,S22,S22,F2,F2,delinio ,blandior,Delinior blandior
p451_l10_o02,S23,S23,F4,F4,pręsagio ,futura p̃dico,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.
p451_l12_o02,S22,S22,F2,F2,sopio ,dormio,Sopio Dormio
p451_l12_o03,S22,S22,F2,F2,ferio ,ꝑcutio,Exsicco ł ferio
p451_l12_o07,S22,S22,F2,F2,ligurrio ,lingo,Ligurrio deglutio
p451_l23_o05,S22,S22,F2,F2,potior ,fruor,Potior fruor
p452_l21_o01,S22,S22,F2,F2,Obsequor ,obtẽpero,Obsequor famulor
p452_l24_o07,S22,S22,F2,F2,ferculũ ,discus,ferculũ discus
p453_l27_o03,S23,S23,F3,F3,strues ,c̃genies t̃rę aug? cumulus,c̃geries cuiꝰ lib& regi
p453_l29_o02,S23,S23,F3,F3,nubilis ,puella apta (ad nubendum?),Nubilis ad nubendũ habilis
p453_l29_o08,S22,S22,F3,F3,effutilis ,uanus instab̶is,Effutilis inutilis ł in stablis uanꝰ ł loquax; 
p454_l03_o04,S22,S22,F2,F2,fallo ,(mentior?),decipio frustror
p454_l22_o01,S22,S22,F2,F2,Cubo ,iaceo,Cubo reqͥesco.
p455_l10_o05,S23,S23,F3,F3,compos ,adeptor uoti,Cõpos possessor ł assecutor uoti;
p455_l30_o02,S22,S22,F2,F2,Fultor ,sustentator,Flutor sustentator
p456_l18_o07,S22,S22,F2,F2,Censura ,iudiciũ,Censura decus. seueritas. honor iuditia
p457_l21_o10,S22,S22,F3,F3,Multa ,census ł̃ tributũ,Multa occisio. ł int̃emptio
p457_l22_o05,S23,S23,F3,F3,Lixa ,seruus militũ s. mercenarius,Lixa aqua lipida
p457_l26_o07,S22,S22,F3,F3,probus ,bonus +,ꝓbus. benemoratꝰ. honestus. Festiuus decens . grauis 
p457_l30_o06,S22,S22,F3,F3,Serenꝰ ,tranquillus ł mitis,Serenus. purus. tranquillus . placidus.
p457_l34_o05,S22,S22,F2,F2,Apto ,accõmodo,Apto. c̃iungo ł sotio
p457_l35_o10,S22,S22,F2,F2,uiduo ,+,Viduo. desclor
p458_l03_o06,S22,S22,F2,F2,T̃minꝰ ,finis,M&a finis 
p458_l06_o07,S22,S22,F3,F3,libo ,sacrifico/p̃gusto,libo sacrifico. uel deglisto.
p458_l18_o05,S22,S22,F2,F2,deuirgino ,+,Deuirgino corrũpo. c̃tamino
p458_l21_o06,S22,S22,F2,F2,exubero ,abundo,Exuberor abundo
p458_l27_o05,S22,S22,F3,F3,sedo ,mitigo/placo,Sedo. Mollio placo. Mitigo // Sedo. pacifico. mitigo. 
p458_l29_o09,S22,S22,F2,F2,detestor ,abominor, Detestor abominor
p459_l04_o07,S22,S22,F2,F2,Pernox ,ꝑuigil,ꝑnox ꝑuigl
p459_l14_o03,S54,S54,F3,F3,acies ,exercitꝰ / a acuo,Acies. ab acuo
p459_l14_o04,S54,S54,F3,F3,Facies ,credulitas/a fido,facies a fatio
p459_l14_o05,S54,S54,F3,F3,Fides ,̃a facio,fides a  fido
p459_l14_o06,S54,S54,F3,F3,Res ,a VERB ͧ ͫ  reor,Res a reor
p459_l32_o11,S22,S22,F3,F3,indagor ,inuestigo ł exploro,indagor. Inuestigo. inquiro
p462_l06_o07,S22,S22,F2,F2,uello ,carpo,Vello moueo
p462_l10_o02,S22,S22,F2,F2,sarcino ,pondero,sarcinor oneror
p463_l18_o10,S23,S23,F3,F3,calx ,extrema (pars pedis),calx posterior pars pedis
p463_l25_o02,S22,S22,F2,F2,m&a ,finis,M&a finis
p463_l25_o03,S22,S22,F2,F2,M&or ,figo,termino finio
p465_l23_o02,S22,S22,F2,F2,ludificor ,+,ludifico. eludo 
p465_l25_o11,S22,S22,F2,F2,polliceor ,spondeo,ꝓmitto polliceor. 
p465_l28_o08,S22,S22,F2,F2,blandior ,adulor,Blandior. placeo
p466_l21_o09,S23,S23,F4,F4,Paciscor ,pacẽ facio,Pasciscor pacẽ redintegror
p468_l19_o04,S22,S22,F3,F3,abdico ,repello abnuo,Abidico. Exheredo Abicio Respuo
p471_l17_o02,S22,S22,F2,F2,Rodo ,deuoro,Rodo mordeo  
p481_l09_o03,S22,S22,F2,F2,lacero ,lanio,lacero ł iterimo
