lemma_id,gloss_type_Lat14087,gloss_type_Lat7499,gloss_form_Lat14087,gloss_form_Lat7499,lemma,gloss_Lat14087,gloss_Lat7499
p447_l05_o05,S22,S22,F3,F3,DOCTORIB ,Preceptor. doctor ł magifter,magistris p̃ceptorib
p448_l20_o07,S25,S25,F3,F3,"Sodes, ",si audes,si audes
p449_l12_o03,S553,S553,F3,F3,protheus ,ꝓtheus pastor quidã,ꝓpũ nom̃
p450_l02_o01,S22,S22,F3,F3,"Meo, ",Defluo Decurro mano,transeo/ãbulo
p450_l20_o04,S22,S22,F2,F2,Delinio ,Delinior blandior,blandior
p450_l22_o07,S23,S23,F3,F3,Depretio ,Deprecio / uilẽfacio,uilẽ facio
p451_l12_o03,S22,S22,F2,F2,Ferio ,Exsicco ł ferio,ꝑcutio
p451_l13_o03,S22,S22,F2,F2,Haurio ,Haurio.Euacuo,ꝓpino
p451_l23_o05,S22,S22,F2,F2,potior ,Potior fruor,possideo
p452_l18_o07,S22,S22,F3,F3,Pręsideo ,P̃sideo ꝓtego subleuo opitulor. suffragor ł ꝓpugno,antesedeo/seu pręsum
p453_l27_o03,S23,S23,F3,F3,"Strues, ",c̃geries cuiꝰ lib& regi,congeries ligni/ł cumulus terrę
p453_l29_o08,S22,S22,F3,F3,"effutił, ",Effutilis inutilis ł in stablis uanꝰ ł loquax; ,uanus/ instabilis
p453_l29_o02,S23,S23,F3,F3,nubił ,Nubilis ad nubendũ habilis,puella/apta ad/nubendũ
p453_l30_o04,S22,S22,F3,F3,Pręcido ,Cedo transigo conficio,ambulo/cedo
p454_l03_o04,S22,S22,F2,F2,Fallo ,decipio frustror,m̃tior
p454_l17_o07,S23,S23,F4,F4,"ꝓnuba, ",ꝓnuba. quę nubentibus p̃÷ łquae utrũq c̃iugit;,ꝗ nubentib p̃est
p454_l22_o01,S22,S22,F2,F2,Cubo ,Cubo reqͥesco.,iaceo
p455_l10_o05,S23,S23,F3,F3,cõpos. ,Cõpos possessor ł assecutor uoti;,effector uoti ł adeptor uoti/ł cõpositor ornam̃ti ł uoluntatis
p457_l18_o02,S22,S22,F3,F3,Trutina ,Trutina pensa statera mensura,lanx ł m̃sura
p457_l18_o03,S22,S22,F3,F3,Trutino ,Trutino. pondero ł ꝓpendo,ęqualit̃ m̃suro/pondero coęquo
p457_l18_o05,S22,S22,F3,F3,Machina ,Machinor molior exquiro. fabrico. paro c̃fitio. Exstruo,argum̃tũ/ędificium
p457_l21_o07,S22,S22,F2,F2,Rota ,gemino cresco,uolubilitas
p457_l21_o10,S22,S22,F3,F3,Multa ,Multa occisio. ł int̃emptio,occisio censꝰ/ł tributum
p457_l21_o11,S22,S22,F3,F3,Multo ,condẽpno uexo. lacero ł iterimo,dãpno occido/condẽpno
p457_l26_o07,S22,S22,F3,F3,ꝓbus ,ꝓbus. benemoratꝰ. honestus. Festiuus decens . grauis ,bonus ęquus/ꝑfectus
p457_l30_o06,S22,S22,F3,F3,Serenus ,Serenus. purus. tranquillus . placidus.,humilis tranquillus/mitis
p457_l34_o08,S22,S22,F3,F3,Sollicito ,Sollicito. inquięto. molesto. ,curo assiduo
p458_l02_o10,S22,S22,F3,F3,Stimulo ,Stimulo urgeo  fimo. Sordeo,pungo incito
p458_l11_o11,S22,S22,F3,F3,"ꝑagro, ", ꝑagror circũeo ꝑãbo ꝑtranseo.giro. uagor,ꝑagro suado/seu ꝑlustro
p458_l21_o06,S22,S22,F2,F2,"Exubero, ",Exuberor abundo,habundo
p458_l21_o09,S22,S22,F3,F3,Aggero ,Aggeror. comulo. congrego,c̃grego accumulo
p458_l25_o06,S22,S22,F3,F3,Nugas ,Nugas turpes. uanos. inutiles. uanos maculosos.,uanꝰ mał t᷑pis piger
p458_l27_o05,S22,S22,F3,F3,Sedo ,Sedo. Mollio placo. Mitigo // Sedo. pacifico. mitigo. ,mitigo placo/sereno fecundo
p459_l04_o07,S22,S22,F2,F2,ꝑnox ,ꝑnox ꝑuigl,ꝑuigil
p459_l13_o03,S22,S22,F3,F3,nisus ,Nisus conam̃ cestam̃,audeo A nitor Conam̃ conatio
p459_l14_o04,S54,S54,F3,F3,Facies ,facies a fatio,a fatio
p459_l14_o05,S54,S54,F3,F3,Fides ,fides a  fido,a ũbo fido ÷ credo
p459_l14_o06,S54,S54,F3,F3,Res ,Res a reor,a ũbo Reor
p459_l32_o11,S22,S22,F3,F3,iNdagor ,indagor. Inuestigo. inquiro,inꝗro exploro inuestigo
p461_l20_o02,S23,S23,F4,F4,coꝑendino ,cõꝑendino. in t̃tiũ diẽ ꝓtraho ł differo,÷ ꝓlongo differo in aliũ diem in longũ mitto
p462_l10_o02,S22,S22,F2,F2,sarcinor ,sarcinor oneror,pondero
p463_l08_o06,S23,S23,F4,F4,bulla ,Bulla inflatio auqarũ ł ornam̃ in similitudine inflatioñ spumę aquarũ,ornam̃tũ camelorũ si/ue uesicule in aqua
p463_l15_o06,S22,S22,F3,F3,Sepio ,Sepior circũdo uallo,munio circũdo
p465_l29_o03,S22,S22,F3,F3,Operior ,Opperior expecto. cupio. spero,prestolor/ł expecto
p466_l21_o09,S23,S23,F4,F4,pacisor ,Pasciscor pacẽ redintegror,pacẽ fatio
p466_l22_o02,S22,S22,F3,F3,Adipiscor; ,Adipiscor conor / Nasiciscor Adipiscor Assequor,consequor inuenio
